case_id,dimension,condition_number,delta_contract,rho_contract,cheap_cost_exact_units,initial_residual,candidate_residual,candidate_contract_satisfied,baseline_lower_calls,baseline_upper_calls,post_upper_calls,gate_accept,guaranteed_saved_calls,guaranteed_cost_slack,baseline_actual_calls,post_actual_calls,gated_actual_calls,gated_total_cost,gated_cost_ratio,always_total_cost,always_cost_ratio,posthoc_descent_accept,posthoc_total_cost,posthoc_cost_ratio
35,64,2.057953232712588,0.4519573555525796,0.8246755250374328,0.25,0.9999999999999999,0.3407588095606666,True,21,51,51,False,-30,-30.25,45,42,45,45,1.0,42.25,0.9388888888888889,True,42.25,0.9388888888888889
36,64,1.7327158351586789,0.005706991104572815,0.005739747794176672,0.5,1.0,0.0033161687089494343,True,21,42,27,False,-6,-6.5,37,20,37,37,1.0,20.5,0.5540540540540541,True,20.5,0.5540540540540541
37,64,1.3704440054341775,0.0034770194868991274,0.0034891513340804653,4.0,1.0,0.0019732888929431753,True,21,32,19,False,2,-2.0,29,16,29,29,1.0,20.0,0.6896551724137931,True,20.0,0.6896551724137931
38,64,2.002249937588458,0.06346202925205861,0.0677623665395823,0.5,0.9999999999999999,0.043308361182423115,True,21,50,40,False,-19,-19.5,43,32,43,43,1.0,32.5,0.7558139534883721,True,32.5,0.7558139534883721
39,64,2.1521133815556714,0.07684768751912385,0.08324486271675327,0.25,1.0,0.04838683886765739,True,21,54,44,False,-23,-23.25,47,36,47,47,1.0,36.25,0.7712765957446809,True,36.25,0.7712765957446809
40,64,2.3504041789767403,0.05380491801085518,0.05686450821298229,2.0,0.9999999999999999,0.03149375554996624,True,21,60,47,False,-26,-28.0,53,36,53,53,1.0,38.0,0.7169811320754716,True,38.0,0.7169811320754716
41,64,2.2052948386780566,0.14810638614543167,0.17385549525989963,0.25,1.0,0.09185952003217933,True,21,55,49,False,-28,-28.25,47,37,47,47,1.0,37.25,0.7925531914893617,True,37.25,0.7925531914893617
42,64,1.0564986355022106,0.05163379008776158,0.054444991342046826,2.0,1.0,0.03051367602639797,True,21,23,18,True,3,1.0,22,16,16,18.0,0.8181818181818182,18.0,0.8181818181818182,True,18.0,0.8181818181818182
43,64,1.5289710649040034,0.0023470253675266094,0.0023525468546728213,0.5,1.0,0.001374051624578066,True,21,36,21,False,0,-0.5,32,16,32,32,1.0,16.5,0.515625,True,16.5,0.515625
44,64,2.785261175605433,0.4008758322102246,0.6691030904146176,1.0,0.9999999999999999,0.22619624743674968,True,21,72,70,False,-49,-50.0,64,56,64,64,1.0,57.0,0.890625,True,57.0,0.890625
45,64,2.170791494766027,0.013599810613650237,0.013787315493228794,1.0,0.9999999999999999,0.007798345036232801,True,21,55,38,False,-17,-18.0,49,29,49,49,1.0,30.0,0.6122448979591837,True,30.0,0.6122448979591837
46,64,1.563985794150026,0.001591566059916618,0.001594103180434603,1.0,1.0,0.0008337886877317418,True,21,37,20,True,1,0.0,33,16,16,17.0,0.5151515151515151,17.0,0.5151515151515151,True,17.0,0.5151515151515151
47,64,1.9893031530999519,0.5402228251239566,1.1749666026148458,0.25,1.0,0.3000615411895119,True,21,49,50,False,-29,-29.25,44,40,44,44,1.0,40.25,0.9147727272727273,True,40.25,0.9147727272727273
48,64,2.467108768301497,0.017605082988678394,0.017920576220240667,0.5,1.0,0.01170555248760237,True,21,63,45,False,-24,-24.5,52,33,52,52,1.0,33.5,0.6442307692307693,True,33.5,0.6442307692307693
49,64,1.5737567578961247,0.41826996539019734,0.7190104352627302,0.5,1.0,0.27837432972611964,True,21,38,37,False,-16,-16.5,33,29,33,33,1.0,29.5,0.8939393939393939,True,29.5,0.8939393939393939
50,64,1.7934140517854698,0.1293964672002307,0.14862846557043627,4.0,0.9999999999999999,0.08077141639344133,True,21,44,38,False,-17,-21.0,39,32,39,39,1.0,36.0,0.9230769230769231,True,36.0,0.9230769230769231
51,64,2.1267726393046784,0.009503836071121567,0.009595025621728688,0.25,1.0,0.006244593850086936,True,21,53,36,False,-15,-15.25,48,30,48,48,1.0,30.25,0.6302083333333334,True,30.25,0.6302083333333334
52,64,1.2573828536316227,0.004851804461000671,0.004875459235870696,4.0,1.0,0.002810050167407616,True,21,28,18,False,3,-1.0,27,16,27,27,1.0,20.0,0.7407407407407407,True,20.0,0.7407407407407407
53,64,1.8176599133085336,0.10454108322390274,0.11674581744105011,0.5,1.0,0.06828622045428327,True,21,44,38,False,-17,-17.5,40,32,40,40,1.0,32.5,0.8125,True,32.5,0.8125
54,64,2.488168774376388,0.010943921897092802,0.011065016574271669,4.0,1.0,0.005871079778576802,True,21,63,43,False,-22,-26.0,56,32,56,56,1.0,36.0,0.6428571428571429,True,36.0,0.6428571428571429
55,64,2.6539626134753522,0.0014108976657332712,0.0014128911105030153,0.25,1.0,0.0008056908609445221,True,21,68,36,False,-15,-15.25,60,27,60,60,1.0,27.25,0.45416666666666666,True,27.25,0.45416666666666666
56,64,2.579378220092242,0.02243712543245027,0.022952104684188127,0.5,1.0,0.011744638859528828,True,21,66,48,False,-27,-27.5,56,37,56,56,1.0,37.5,0.6696428571428571,True,37.5,0.6696428571428571
57,64,1.5014081703402804,0.010573767263994633,0.010686766647328101,0.5,1.0,0.005908823712752338,True,21,35,24,False,-3,-3.5,32,21,32,32,1.0,21.5,0.671875,True,21.5,0.671875
